타카, 44, 155
다마, 65, 199
타나, 61, 173
하다, 93, 164
아바, 71, 163
가라, 51, 156
나카, 56, 146
타다, 44, 185
가마, 61, 199
가사, 48, 140
타라, 46, 196
사마, 86, 161
아하, 56, 160
아마, 90, 172
바나, 52, 180
타가, 64, 158
가아, 77, 196
마아, 45, 175
파카, 44, 188
자자, 70, 198
아나, 58, 155
자바, 95, 154
타나, 85, 164
바나, 83, 170
나타, 52, 153
타가, 55, 144
사파, 59, 161
나마, 84, 145
아가, 86, 140
바파, 53, 151
라나, 50, 186
가아, 91, 148
카마, 78, 152
마타, 55, 172
가파, 90, 147
마다, 83, 153
카자, 94, 174
바타, 77, 168
라타, 50, 169
자마, 86, 187
나하, 68, 178
나라, 95, 170
가타, 83, 157
다라, 70, 156
다타, 97, 197
타다, 89, 145
하라, 61, 190
자다, 41, 165
바아, 73, 143
아라, 40, 169
라나, 70, 188
마마, 74, 198
아자, 44, 180
라사, 42, 192
파하, 90, 166
자나, 65, 154
라바, 67, 163
파나, 92, 147
아바, 84, 183
타파, 57, 194
카라, 50, 181
나바, 95, 175
자다, 87, 146
타자, 97, 167
바타, 88, 199
다아, 95, 160
카하, 44, 149
자다, 46, 175
바가, 95, 197
파카, 66, 161
가라, 97, 157
사카, 72, 144
다파, 50, 154
하가, 54, 177
바하, 58, 147
타라, 66, 171
마마, 68, 168
자바, 89, 198
사파, 92, 150
자나, 57, 143
아아, 80, 145
자마, 85, 147
타타, 97, 145
나자, 98, 161
자다, 51, 154
가가, 43, 190
가사, 65, 194
나다, 45, 192
카라, 84, 161
자카, 50, 188
타하, 45, 176
다다, 74, 181
타나, 43, 162
자마, 61, 145
가라, 63, 143
카파, 68, 155
파다, 61, 193
다바, 46, 177
가자, 52, 182
자타, 74, 180
라자, 91, 151
카사, 92, 184
타하, 56, 140
라사, 89, 178
카타, 72, 175
라다, 62, 169
카다, 83, 166
타다, 63, 195
사다, 45, 184
아가, 54, 190
다파, 86, 182
타아, 87, 179
아타, 56, 191
가다, 77, 184
카가, 42, 176
아카, 77, 170
사타, 99, 191
타나, 92, 170
타아, 76, 148
타마, 60, 183
아파, 66, 173
가파, 49, 193
타카, 48, 171
라자, 48, 142
타사, 69, 164
파자, 78, 178
라마, 52, 144
타타, 93, 157
마타, 61, 199
파마, 90, 193
나가, 89, 143
나사, 94, 197
아다, 56, 159
사가, 57, 154
하다, 78, 143
다마, 69, 145
파아, 84, 179
타가, 54, 157
자자, 99, 142
다다, 47, 142
라파, 73, 171
파사, 47, 159
타파, 55, 162
카라, 79, 168
라파, 55, 182
타하, 60, 148
마다, 43, 191
사하, 81, 190
자타, 70, 153
타카, 56, 195
하다, 80, 168
타마, 49, 154
파타, 63, 180
하타, 71, 176
아하, 85, 175
라카, 64, 165
하하, 71, 191
자마, 91, 141
다마, 70, 172
타아, 68, 187
하나, 75, 194
라가, 51, 144
바바, 57, 185
나아, 64, 162
마다, 68, 193
마카, 85, 140
아하, 78, 176
마사, 86, 156
바다, 69, 157
타아, 68, 146
가자, 95, 169
나사, 88, 160
바타, 93, 164
다카, 96, 166
사사, 82, 163
나가, 73, 157
바파, 43, 155
타가, 71, 155
아아, 69, 183
카아, 43, 172
다라, 71, 159
다사, 82, 165
마아, 57, 148
사마, 81, 146
자바, 47, 195
나하, 40, 178
마카, 75, 154
가가, 85, 171
파하, 59, 174
라마, 92, 141
사파, 43, 160
가카, 88, 152
다마, 85, 179
파하, 51, 187
하타, 51, 181
바가, 52, 164
하타, 75, 152
가하, 68, 160
하아, 52, 180
라타, 53, 150
다라, 53, 176
아카, 41, 141
가하, 86, 164
타다, 97, 171
타카, 93, 194
라나, 92, 174
라타, 83, 144
카카, 72, 154
사다, 93, 180
나가, 73, 151
가라, 57, 178
사타, 48, 182
카가, 49, 196
라파, 86, 153
자바, 60, 156
다바, 57, 198
나사, 59, 155
다하, 61, 195
아가, 59, 151
라파, 43, 156
나타, 64, 141
라카, 75, 199
가타, 75, 167
다나, 84, 189
가다, 44, 198
바사, 83, 168
파마, 90, 161
다파, 43, 147
파자, 81, 170
타자, 59, 196
카바, 96, 181
라다, 94, 195
사바, 51, 196
라아, 85, 196
라아, 98, 157
바바, 94, 146
나가, 48, 162
사타, 48, 192
자가, 77, 160
마가, 66, 191
가마, 82, 149
자자, 74, 145
다가, 43, 194
마카, 41, 190
타나, 43, 151
가라, 43, 145
마타, 64, 170
타파, 40, 167
파타, 61, 184
자아, 50, 193
바파, 84, 144
다타, 50, 158
나파, 82, 193
나사, 84, 182
사자, 69, 187
다나, 65, 166
타타, 55, 183
사타, 45, 149
바아, 97, 168
나마, 40, 166
카다, 45, 146
파가, 66, 153
자타, 70, 184
가아, 58, 199
자하, 88, 154
카타, 60, 183
마나, 64, 182
타나, 66, 175
바바, 96, 151
사파, 67, 157
하카, 50, 173
타마, 84, 158
바마, 51, 169
카마, 80, 197
나자, 74, 153
라라, 96, 142
타가, 81, 161
파아, 98, 186
카사, 60, 169
자카, 51, 177
타카, 93, 180
자다, 62, 163
라아, 48, 147
파파, 94, 199
카자, 90, 180
나다, 84, 198
사마, 95, 152
사마, 77, 145
가다, 88, 189
마라, 48, 150
하바, 53, 197
자아, 58, 149
카다, 64, 146
가바, 81, 179
타파, 63, 193
타타, 94, 158
다나, 54, 173
아아, 54, 197
나카, 56, 199
나나, 41, 168
타하, 90, 142
카자, 89, 188
파카, 90, 170
바마, 64, 164
아타, 57, 166
하아, 54, 190
사사, 60, 161
타타, 68, 155
나가, 60, 147
나타, 60, 171
라다, 49, 176
하라, 76, 147
나마, 53, 173
사다, 60, 161
다가, 69, 191
하카, 84, 196
사타, 86, 187
사사, 45, 165
하아, 60, 198
다자, 58, 155
자라, 93, 191
파사, 80, 174
하파, 89, 152
라자, 87, 183
하가, 41, 146
바타, 68, 185
하사, 63, 177
파다, 59, 156
사자, 70, 194
하파, 40, 196
바카, 78, 150
가타, 90, 195
아카, 77, 168
라카, 54, 160
파하, 70, 195
타바, 88, 168
하타, 76, 153
하마, 44, 160
타파, 94, 158
가아, 54, 162
타자, 99, 172
자마, 96, 141
타나, 77, 148
카마, 83, 140
사가, 44, 173
사아, 89, 178
자라, 42, 173
자나, 45, 160
가파, 68, 157
파하, 85, 143
마타, 83, 174
타사, 96, 155
마하, 44, 177
하자, 75, 197
나자, 96, 153
파가, 76, 172
나사, 70, 148
자하, 46, 197
나아, 64, 178
나가, 74, 173
타카, 42, 171
타마, 74, 197
하아, 48, 194
타마, 49, 189
사카, 88, 198
사라, 96, 179
하자, 59, 171
타타, 65, 155
사나, 51, 157
카아, 62, 188
하파, 42, 160
나다, 41, 157
타아, 91, 140
자자, 83, 199
바나, 62, 197
카사, 78, 186
다아, 92, 176
사타, 81, 142
파하, 78, 192
마마, 72, 182
사마, 96, 162
라라, 49, 197
파하, 61, 144
나가, 51, 156
아자, 75, 154
사마, 71, 172
파마, 79, 151
하파, 54, 193
마라, 96, 159
카타, 81, 186
라하, 99, 164
하자, 65, 178
자라, 80, 158
나하, 80, 188
카사, 51, 166
자아, 76, 171
하카, 46, 185
타자, 72, 155
아아, 75, 150
라아, 92, 175
사타, 87, 144
나카, 98, 158
타자, 74, 149
자나, 59, 174
사파, 58, 147
바자, 86, 181
마가, 48, 171
다타, 48, 193
라마, 48, 155
아파, 54, 150
타가, 66, 155
다사, 94, 153
라자, 81, 153
나파, 55, 162
아아, 79, 172
라다, 58, 189
가타, 66, 183
아나, 87, 160
하카, 96, 155
사파, 70, 151
바타, 88, 152
라사, 70, 143
가바, 72, 168
바바, 71, 164
마다, 77, 183
마아, 95, 158
사가, 64, 195
자타, 53, 173
다하, 80, 174
가카, 43, 192
자카, 76, 146
하타, 92, 150
타나, 42, 187
마라, 44, 163
아타, 75, 182
가파, 84, 199
하가, 72, 167
나나, 93, 140
사나, 40, 163
카사, 98, 157
라카, 50, 194
자하, 77, 159
카카, 80, 160
바사, 84, 142
타사, 81, 162
타바, 92, 171
바마, 91, 141
나가, 71, 151
다라, 43, 162
파타, 88, 198
카자, 45, 148
마사, 54, 162
아타, 93, 188
마마, 61, 174
타아, 90, 153
타자, 40, 171
마바, 53, 173
아라, 96, 175
가타, 63, 149
타하, 50, 168
카파, 81, 155
타아, 40, 148
파나, 96, 199
마타, 89, 164
라라, 42, 159
다사, 92, 145
아바, 47, 167
타자, 67, 159
하사, 80, 162
사자, 58, 193
하자, 80, 176
하아, 67, 167
마나, 55, 181
타파, 63, 181
아카, 61, 140
사파, 74, 168
나바, 82, 193
하타, 68, 151
나파, 75, 148
파마, 71, 162
타자, 87, 154
가자, 99, 153
나아, 47, 158
카다, 89, 178
사하, 68, 185
카타, 70, 159
나파, 68, 147
나라, 42, 167
타사, 45, 182
타타, 63, 145
파카, 56, 162
파하, 94, 147
카하, 45, 166
자카, 75, 199
가마, 95, 141
타하, 58, 191
마카, 93, 188
자바, 44, 193
타라, 71, 199
아마, 52, 152
나타, 82, 174
자아, 97, 146
라자, 78, 197
아자, 78, 168
다라, 65, 155
마다, 77, 142
타자, 97, 160
타바, 87, 187
나나, 71, 178
마나, 79, 190
카파, 84, 159
가아, 97, 164
나아, 49, 156
가가, 97, 161
사자, 64, 186
다마, 91, 162
파카, 70, 186
사타, 76, 176
하하, 61, 150
카가, 45, 187
타가, 63, 153
라하, 56, 184
마타, 94, 145
자타, 50, 163
사카, 68, 161
자다, 97, 175
마가, 51, 142
라나, 79, 161
가다, 65, 190
라타, 85, 174
아카, 92, 155
나아, 54, 140
아파, 40, 176
파아, 98, 150
자다, 61, 146
하사, 61, 164
파카, 71, 174
아파, 97, 184
타아, 58, 180
타타, 55, 193
파파, 87, 186
자카, 46, 164
다사, 79, 152
파다, 72, 187
자타, 40, 159
하바, 48, 199
카마, 82, 154
아라, 98, 173
파아, 50, 142
라자, 72, 199
나아, 61, 159
다파, 76, 149
파라, 98, 163
사파, 57, 183
가가, 94, 190
사라, 57, 177
자가, 86, 193
자하, 66, 149
나나, 97, 197
라사, 95, 158
다나, 63, 152
자타, 64, 166
카카, 92, 140
자타, 48, 162
바타, 73, 191
바하, 68, 184
아다, 64, 189
라나, 93, 175
카타, 55, 183
바파, 82, 174
타타, 40, 143
바아, 68, 191
바가, 88, 176
바마, 88, 143
바파, 86, 144
아아, 91, 180
타사, 40, 197
사파, 50, 196
사타, 50, 170
가타, 90, 171
자타, 67, 166
가아, 97, 197
마카, 82, 179
타사, 49, 177
가타, 68, 154
카파, 41, 155
라마, 97, 168
파타, 74, 160
나아, 75, 185
자타, 74, 173
라다, 49, 168
다가, 71, 144
타다, 93, 180
카가, 96, 142
파다, 58, 184
다자, 67, 191
다가, 89, 194
마라, 54, 171
나카, 67, 186
카타, 93, 183
타하, 58, 186
타타, 60, 141
타파, 80, 194
나사, 70, 146
라마, 42, 181
라타, 49, 187
마타, 54, 169
마하, 43, 154
타라, 43, 185
나사, 40, 166
카아, 85, 155
가하, 61, 141
파타, 47, 162
사타, 40, 168
마가, 99, 182
라바, 54, 179
가파, 44, 165
타하, 60, 167
마카, 93, 163
파나, 49, 156
라카, 98, 154
다라, 80, 174
타하, 97, 198
하다, 52, 167
라바, 59, 179
가타, 57, 163
라카, 49, 186
카하, 74, 151
타바, 41, 156
가파, 90, 177
사파, 44, 165
다마, 69, 197
나자, 68, 170
아아, 97, 165
카라, 64, 155
다바, 87, 165
나카, 80, 164
가다, 70, 193
다타, 87, 143
라카, 65, 165
나라, 96, 194
나사, 85, 185
하가, 84, 178
바타, 40, 181
카타, 74, 171
타다, 46, 184
라타, 69, 198
카타, 57, 175
아사, 62, 150
아카, 56, 181
하하, 65, 169
파라, 48, 155
파타, 87, 174
파라, 47, 193
가바, 87, 162
자타, 44, 158
라바, 89, 149
가나, 91, 192
나라, 51, 162
라아, 97, 173
타파, 59, 158
파타, 51, 158
나파, 79, 154
아바, 76, 187
바하, 83, 146
하바, 57, 152
마파, 49, 181
라라, 97, 144
다파, 43, 176
나하, 52, 145
타사, 92, 163
마가, 50, 149
아가, 52, 175
자아, 70, 182
사가, 52, 142
파파, 57, 142
라아, 82, 157
라파, 59, 155
나라, 42, 180
타카, 64, 160
바타, 77, 158
타아, 96, 150
타마, 96, 177
타사, 85, 178
사파, 90, 151
카가, 81, 182
가타, 47, 181
